ZIP,CBSA Code,CBSA Title,Metro
501,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
6390,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7001,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7002,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7003,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7004,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7005,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7006,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7007,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7008,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7009,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7010,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7011,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7012,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7013,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7014,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7015,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7016,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7017,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7018,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7019,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7020,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7021,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7022,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7023,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7024,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7026,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7027,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7028,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7029,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7030,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7031,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7032,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7033,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7034,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7035,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7036,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7039,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7040,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7041,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7042,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7043,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7044,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7045,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7046,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7047,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7050,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7051,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7052,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7054,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7055,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7057,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7058,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7059,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7060,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7061,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7062,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7063,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7064,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7065,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7066,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7067,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7068,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7069,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7070,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7071,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7072,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7073,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7074,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7075,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7076,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7077,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7078,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7079,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7080,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7081,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7082,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7083,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7086,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7087,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7088,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7090,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7091,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7092,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7093,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7094,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7095,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7096,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7097,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7099,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7101,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7102,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7103,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7104,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7105,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7106,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7107,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7108,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7109,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7110,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7111,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7112,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7114,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
