"countyname","state","ssacounty","fipscounty","cbsa","cbsaname","ssast","fipst"
"AUTAUGA","AL","01000","01001","33860","Montgomery, AL","01","01"
"BALDWIN","AL","01010","01003","19300","Daphne-Fairhope-Foley, AL","01","01"
"BARBOUR","AL","01020","01005",,,"01","01"
"BIBB","AL","01030","01007","13820","Birmingham-Hoover, AL","01","01"
"BLOUNT","AL","01040","01009","13820","Birmingham-Hoover, AL","01","01"
"BULLOCK","AL","01050","01011",,,"01","01"
"BUTLER","AL","01060","01013",,,"01","01"
"CALHOUN","AL","01070","01015","11500","Anniston-Oxford-Jacksonville, AL","01","01"
"CHAMBERS","AL","01080","01017",,,"01","01"
"CHEROKEE","AL","01090","01019",,,"01","01"
"CHILTON","AL","01100","01021","13820","Birmingham-Hoover, AL","01","01"
"CHOCTAW","AL","01110","01023",,,"01","01"
"CLARKE","AL","01120","01025",,,"01","01"
"CLAY","AL","01130","01027",,,"01","01"
"CLEBURNE","AL","01140","01029",,,"01","01"
"COFFEE","AL","01150","01031",,,"01","01"
"COLBERT","AL","01160","01033","22520","Florence-Muscle Shoals, AL","01","01"
"CONECUH","AL","01170","01035",,,"01","01"
"COOSA","AL","01180","01037",,,"01","01"
"COVINGTON","AL","01190","01039",,,"01","01"
"CRENSHAW","AL","01200","01041",,,"01","01"
"CULLMAN","AL","01210","01043",,,"01","01"
"DALE","AL","01220","01045",,,"01","01"
"DALLAS","AL","01230","01047",,,"01","01"
"DE KALB","AL","01240","01049",,,"01","01"
"ELMORE","AL","01250","01051","33860","Montgomery, AL","01","01"
"ESCAMBIA","AL","01260","01053",,,"01","01"
"ETOWAH","AL","01270","01055","23460","Gadsden, AL","01","01"
"FAYETTE","AL","01280","01057",,,"01","01"
"FRANKLIN","AL","01290","01059",,,"01","01"
"GENEVA","AL","01300","01061","20020","Dothan, AL","01","01"
"GREENE","AL","01310","01063",,,"01","01"
"HALE","AL","01320","01065","46220","Tuscaloosa, AL","01","01"
"HENRY","AL","01330","01067","20020","Dothan, AL","01","01"
"HOUSTON","AL","01340","01069","20020","Dothan, AL","01","01"
"JACKSON","AL","01350","01071",,,"01","01"
"JEFFERSON","AL","01360","01073","13820","Birmingham-Hoover, AL","01","01"
"LAMAR","AL","01370","01075",,,"01","01"
"LAUDERDALE","AL","01380","01077","22520","Florence-Muscle Shoals, AL","01","01"
"LAWRENCE","AL","01390","01079","19460","Decatur, AL","01","01"
"LEE","AL","01400","01081","12220","Auburn-Opelika, AL","01","01"
"LIMESTONE","AL","01410","01083","26620","Huntsville, AL","01","01"
"LOWNDES","AL","01420","01085","33860","Montgomery, AL","01","01"
"MACON","AL","01430","01087",,,"01","01"
"MADISON","AL","01440","01089","26620","Huntsville, AL","01","01"
"MARENGO","AL","01450","01091",,,"01","01"
