zipcode,cbsacode
00501,35620
00601,10260
00602,10380
00603,10380
00604,10380
00605,10380
00606,99999
00610,10380
00611,10380
00612,11640
00613,11640
00614,11640
00616,11640
00617,41980
00622,41900
00623,41900
00624,38660
00627,11640
00631,10380
00637,41900
00638,41980
00641,10380
00646,41980
00647,38660
00650,41980
00652,11640
00653,38660
00656,38660
00659,11640
00660,32420
00662,10380
00664,27580
00667,41900
00669,10380
00670,99999
00674,41980
00676,10380
00677,10380
00678,11640
00680,32420
00681,32420
00682,32420
00683,41900
00685,10380
00687,41980
00688,11640
00690,10380
00692,41980
00693,41980
00694,41980
00698,38660
00703,41980
00704,17640
00705,41980
00707,41980
00714,25020
00715,38660
00716,38660
00717,38660
00718,41980
00719,41980
00720,41980
00721,41980
00723,25020
00725,41980
00726,41980
00727,41980
00728,38660
00729,41980
00730,38660
00731,38660
00732,38660
00733,38660
00735,41980
00736,41980
00737,41980
00738,41980
00739,41980
00740,41980
00741,41980
00742,41980
00744,41980
00745,41980
00751,17640
00754,41980
00757,42180
00765,99999
00766,38660
00767,41980
00769,17620
00771,41980
00772,41980
00773,41980
00775,99999
00777,41980
00778,41980
00780,38660
00782,41980
00783,41980
00784,25020
00785,25020
00786,41980
00791,41980
00792,41980
00794,41980
00795,38660
00802,99999
00820,99999
00830,99999
00840,99999
00850,99999
00901,41980
00902,41980
00907,41980
00908,41980
00909,41980
00910,41980
00911,41980
00912,41980
00913,41980
00914,41980
00915,41980
00916,41980
00917,41980
00918,41980
00919,41980
00920,41980
00921,41980
00922,41980
00923,41980
00924,41980
00925,41980
00926,41980
00927,41980
00928,41980
00929,41980
00931,41980
00934,41980
00935,41980
00936,41980
00937,41980
00940,41980
00949,41980
00950,41980
00951,41980
00952,41980
00953,41980
00954,41980
00956,41980
00957,41980
00958,41980
00959,41980
00960,41980
00961,41980
00962,41980
00963,41980
00965,41980
00966,41980
00968,41980
00969,41980
00970,41980
00971,41980
00975,41980
00976,41980
00977,41980
00979,41980
00981,41980
00982,41980
00983,41980
00984,41980
00985,41980
00986,41980
00987,41980
00988,41980
01001,44140
01002,44140
01003,44140
01004,44140
01005,49340
01007,44140
01008,44140
01009,44140
01010,44140
01011,44140
01012,44140
01013,44140
01014,44140
01020,44140
01021,44140
01022,44140
01026,44140
01027,44140
01028,44140
01029,38340
01030,44140
01031,49340
01032,44140
01033,44140
01034,44140
01035,44140
01036,44140
01037,49340
01038,44140
01039,44140
01040,44140
01041,44140
01050,44140
01053,44140
01054,24640
01056,44140
01057,44140
01059,44140
01060,44140
01061,44140
01062,44140
01063,44140
01066,44140
01068,49340
01069,44140
01070,44140
01071,44140
01072,24640
01073,44140
01074,49340
01075,44140
01077,44140
01079,44140
01080,44140
01081,44140
01082,44140
01083,49340
01084,44140
01085,44140
01088,44140
01089,44140
01090,44140
01092,49340
01093,24640
01094,49340
01095,44140
01096,44140
01097,44140
01098,44140
01101,44140
01103,44140
01104,44140
01105,44140
01106,44140
01107,44140
01108,44140
01109,44140
01111,44140
01115,44140
01116,44140
01118,44140
01119,44140
01128,44140
01129,44140
01138,44140
01139,44140
01144,44140
01151,44140
01152,44140
01199,44140
01201,38340
01202,38340
01220,38340
01222,38340
01223,38340
01224,38340
01225,38340
01226,38340
01227,38340
01229,38340
01230,38340
01235,38340
01236,38340
01237,38340
01238,38340
01240,38340
01242,38340
01243,44140
01244,38340
01245,38340
01247,38340
01252,38340
01253,38340
01254,38340
01255,38340
01256,38340
01257,38340
01258,38340
