"CIPCode2010","CIPTitle2010","Action","Text change","CIPCode2020","CIPTitle2020"
="01","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","No substantive changes",yes,="01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS."
="01.00","Agriculture, General.","No substantive changes",no,="01.00","Agriculture, General."
="01.0000","Agriculture, General.","No substantive changes",no,="01.0000","Agriculture, General."
="01.01","Agricultural Business and Management.","No substantive changes",no,="01.01","Agricultural Business and Management."
="01.0101","Agricultural Business and Management, General.","No substantive changes",no,="01.0101","Agricultural Business and Management, General."
="01.0102","Agribusiness/Agricultural Business Operations.","No substantive changes",no,="01.0102","Agribusiness/Agricultural Business Operations."
="01.0103","Agricultural Economics.","No substantive changes",no,="01.0103","Agricultural Economics."
="01.0104","Farm/Farm and Ranch Management.","No substantive changes",no,="01.0104","Farm/Farm and Ranch Management."
="01.0105","Agricultural/Farm Supplies Retailing and Wholesaling.","No substantive changes",no,="01.0105","Agricultural/Farm Supplies Retailing and Wholesaling."
="01.0106","Agricultural Business Technology.","No substantive changes",yes,="01.0106","Agricultural Business Technology/Technician."
="01.0199","Agricultural Business and Management, Other.","No substantive changes",no,="01.0199","Agricultural Business and Management, Other."
="01.02","Agricultural Mechanization.","No substantive changes",no,="01.02","Agricultural Mechanization."
="01.0201","Agricultural Mechanization, General.","No substantive changes",no,="01.0201","Agricultural Mechanization, General."
="01.0204","Agricultural Power Machinery Operation.","No substantive changes",no,="01.0204","Agricultural Power Machinery Operation."
="01.0205","Agricultural Mechanics and Equipment/Machine Technology.","No substantive changes",yes,="01.0205","Agricultural Mechanics and Equipment/Machine Technology/Technician."
"","","New",no,="01.0207","Irrigation Management Technology/Technician."
="01.0299","Agricultural Mechanization, Other.","No substantive changes",no,="01.0299","Agricultural Mechanization, Other."
="01.03","Agricultural Production Operations.","No substantive changes",no,="01.03","Agricultural Production Operations."
="01.0301","Agricultural Production Operations, General.","No substantive changes",no,="01.0301","Agricultural Production Operations, General."
="01.0302","Animal/Livestock Husbandry and Production.","No substantive changes",no,="01.0302","Animal/Livestock Husbandry and Production."
="01.0303","Aquaculture.","No substantive changes",no,="01.0303","Aquaculture."
="01.0304","Crop Production.","No substantive changes",no,="01.0304","Crop Production."
="01.0306","Dairy Husbandry and Production.","No substantive changes",no,="01.0306","Dairy Husbandry and Production."
="01.0307","Horse Husbandry/Equine Science and Management.","No substantive changes",no,="01.0307","Horse Husbandry/Equine Science and Management."
="01.0308","Agroecology and Sustainable Agriculture.","No substantive changes",no,="01.0308","Agroecology and Sustainable Agriculture."
="01.0309","Viticulture and Enology.","Moved to",no,="01.1004","Viticulture and Enology."
"","","New",no,="01.0310","Apiculture."
