zipcode,cbsa_code,title,state_name,state_fips,metro
00501,35620,"New York-Newark, NY-NJ-CT-PA",New Jersey,34,New York City
00501,35620,"New York-Newark, NY-NJ-CT-PA",New York,36,New York City
00501,35620,"New York-Newark, NY-NJ-CT-PA",Pennsylvania,42,New York City
00601,10260,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00601,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00602,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00603,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00604,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00605,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00606,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00610,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00611,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00612,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00612,41980,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00612,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00613,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00614,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00616,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00617,41980,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00622,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00623,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00623,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00624,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00627,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00631,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00637,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00638,41980,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00641,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00641,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00646,41980,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00647,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00647,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00650,41980,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00650,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00652,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00653,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00656,38660,"Ponce-Coamo-Santa Isabel, PR",Puerto Rico,72,N/A
00659,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00660,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00662,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00662,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00664,27580,"Jayuya, PR",Puerto Rico,72,N/A
00667,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00669,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00670,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00674,41980,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00676,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00677,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
00678,11640,"San Juan-Carolina, PR",Puerto Rico,72,N/A
00680,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00680,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00681,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00682,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00683,41900,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00683,32420,"Mayagüez-San Germán, PR",Puerto Rico,72,N/A
00685,10380,"Aguadilla-Isabela, PR",Puerto Rico,72,N/A
