major_id,major,Starting Median Salary,Mid-Career Median Salary
200,Accounting,46000.0,77100.0
450,Aerospace Engineering,57700.0,101000.0
100,Agriculture,42600.0,71900.0
900,Anthropology,36800.0,61500.0
120,Architecture,41600.0,76800.0
940,Art History,35800.0,64900.0
160,Biology,38800.0,64800.0
200,Business Management,43000.0,72100.0
450,Chemical Engineering,63200.0,107000.0
830,Chemistry,42600.0,79900.0
450,Civil Engineering,53900.0,90500.0
250,Communications,38100.0,70000.0
500,Computer Engineering,61400.0,105000.0
300,Computer Science,55900.0,95500.0
450,Construction,53700.0,88900.0
890,Criminal Justice,35000.0,56300.0
940,Drama,35900.0,56900.0
900,Economics,50100.0,98600.0
400,Education,34900.0,52000.0
450,Electrical Engineering,60900.0,103000.0
520,English,38000.0,64700.0
940,Film,37900.0,68500.0
200,Finance,47900.0,88300.0
790,Forestry,39100.0,62600.0
900,Geography,41200.0,65500.0
450,Geology,43500.0,79500.0
940,Graphic Design,35700.0,59800.0
600,Health Care Administration,38800.0,60600.0
700,History,39200.0,71000.0
200,Hospitality & Tourism,37800.0,57500.0
450,Industrial Engineering,57700.0,94700.0
300,Information Technology (IT),49100.0,74800.0
940,Interior Design,36100.0,53200.0
880,International Relations,40900.0,80900.0
250,Journalism,35600.0,66700.0
200,Management Information Systems (MIS),49200.0,82300.0
200,Marketing,40800.0,79600.0
740,Math,45400.0,92400.0
450,Mechanical Engineering,57900.0,93600.0
940,Music,35900.0,55000.0
600,Nursing,54200.0,67000.0
540,Nutrition,39900.0,55300.0
820,Philosophy,39900.0,81200.0
600,Physician Assistant,74300.0,91700.0
830,Physics,50300.0,97300.0
900,Political Science,40800.0,78200.0
870,Psychology,35900.0,60400.0
920,Religion,34100.0,52000.0
900,Sociology,36500.0,58200.0
550,Spanish,34000.0,53100.0
